Processo,Numero AI,SGUF,Razao Social,CNPJ/CPF,Data autuação,vlmulta,Ultima Movimentacao,Data e Valor Pago,Situacao Atual,dt decisao 1a,decisao 1a,dt recurso,dt decisao 2a,Decisao 2a,Decisao Definitiva,Processo Encerrado,Decisao de Procedência,Dívida Ativa
14152000462202050,219034711,RS,FUNDACAO IVAN GOULART,96488598000189,6/1/2020,"R$ 30.507,93",3/24/2023,,Arquivado,17/3/2021,Decisão de procedência,,,,SIM,SIM,SIM,NAO
46234003082201910,218882637,MG,PARAGUAÇU TÊXTIL LTDA,96368816000222,19/12/2019,"R$ 17.748,31",2/14/2022,19/11/2021 - R$8874.16,Arquivado,29/10/2021,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152019402202019,219223343,SP,MIAMI SPORTS IMPORTADORA E EXPORTADORA LTDA,96336466000131,19/2/2020,"R$ 8.464,88",6/7/2022,23/03/2022 - R$4232.44,Arquivado,14/2/2022,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152117790202175,221476245,SC,TIELI SUPERMERCADO LTDA,95860334000141,20/07/2021 00:00:00,"R$ 6.088,95",7/18/2023,,Enviado inscrição DAU (PGFN),07/10/2022 00:00:00,Decisão procedente,24/10/2022 00:00:00,11/05/2023 00:00:00,Decisão voluntário - decisão procedente (2ª instância),SIM,SIM,SIM,SIM
46220005619201935,217581331,SC,INMES INDUSTRIAL LTDA,95852547000121,4/6/2019,"R$ 5.574,88",10/21/2020,24/09/2020 - R$2787.44,Arquivado,18/8/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152022873202268,222779306,RS,METALURGICA MARKS LTDA,95814984000150,18/02/2022 00:00:00,"R$ 6.660,76",11/23/2022,23-11-2022 - R$3330.38,Arquivado - pago administrativamente,09/11/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152130104202151,221599347,PR,SANTA RITA SAUDE S/A,95642179000197,06/08/2021 00:00:00,"R$ 22.352,84",5/24/2022,20-05-2022 - R$11176.42,Arquivado - pago administrativamente,02/05/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152088570202127,221188142,SP,TNT MERCURIO CARGAS E ENCOMENDAS EXPRESSAS LTDA,95591723000119,07/06/2021 00:00:00,"R$ 265.659,51",5/17/2023,17-05-2023 - R$292225.46,Arquivado - pago administrativamente,28/03/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152009513202351,224761285,PR,L F M ENGENHARIA DE OBRAS LTDA,95363503000138,27/01/2023 00:00:00,"R$ 9.988,39",4/18/2023,18-04-2023 - R$4994.20,Arquivado - pago administrativamente,06/04/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46274002146201999,218693583,RS,HOSPITAL DE CARIDADE NOSSA SENHORA AUXILIADORA,95281929000142,1/11/2019,"R$ 20.480,56",2/11/2022,,Enviado p/ PFN,17/3/2021,Decisão de procedência,,,,SIM,SIM,SIM,SIM
46218013052201910,218472714,RS,DALE CONSTRUCOES E INCORPORACOES LTDA,94912326000139,30/9/2019,"R$ 23.554,74",2/8/2021,14/12/2020 - R$11777.37,Arquivado,13/11/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152049487202213,223045446,RS,COOPERATIVA MISTA DOS PEQ AGRICULT DA REGIAO SUL LTDA,94890266000109,04/04/2022 00:00:00,"R$ 7.047,14",4/20/2023,20-04-2023 - R$3523.57,Arquivado - pago administrativamente,03/02/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152162423202126,221917683,SP,SANTANDER BRASIL TECNOLOGIA S.A.,94870557000127,23/09/2021 00:00:00,"R$ 198.753,75",7/21/2023,21-07-2023 - R$99376.88,Arquivado - pago administrativamente,05/07/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152027950202012,219308489,RS,CCS SERVICOS TERCEIRIZADOS LTDA,94851250000189,4/3/2020,"R$ 251.929,36",1/2/2023,,Enviado p/ PFN,15/9/2021,Decisão de procedência,,,,SIM,SIM,SIM,SIM
14152041645202297,222967021,RS,TROMINK INDUSTRIAL LTDA.,94813490000199,23/03/2022 00:00:00,"R$ 42.029,87",4/17/2023,17-04-2023 - R$21014.94,Arquivado - pago administrativamente,03/04/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46274001859201935,218411812,RS,FARIAS E CAVALHEIRO LTDA,94560620000129,24/9/2019,"R$ 2.613,83",2/5/2021,28/12/2020 - R$1306.92,Arquivado,13/11/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152135854202209,223909114,RS,LABORATORIO ALAC LTDA,94088952000152,29/08/2022 00:00:00,"R$ 8.832,24",7/12/2023,,Enviado inscrição DAU (PGFN),12/04/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,SIM
14152073641202278,223286982,RS,ALEA ELETRO COMERCIAL LTDA,93720464000153,17/05/2022 00:00:00,"R$ 283.995,70",5/12/2023,12-05-2023 - R$141997.85,Arquivado - pago administrativamente,20/04/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152091448202219,223465054,RS,F. VACHILESKI & CIA LTDA,93388031000142,15/06/2022 00:00:00,"R$ 32.416,84",5/8/2023,08-05-2023 - R$16208.42,Arquivado - pago administrativamente,03/02/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46218015219201987,218832192,RS,INSTITUTO METODISTA DE EDUCACAO E CULTURA,92998343000105,25/11/2019,"R$ 5.882,23",2/9/2022,,Enviado p/ PFN,1/3/2021,Decisão de procedência,,,,SIM,SIM,SIM,SIM
46218003614201917,217001467,RS,SUPERMERCADO GECEPEL LTDA.,92733559000149,20/3/2019,"R$ 9.077,38",6/26/2019,14/05/2019 - R$4538.69,Arquivado,23/4/2019,Decisão de procedência,,,,SIM,SIM,SIM,NAO
46218005665201983,217285376,RS,ASSOCIACAO HOSPITALAR MOINHOS DE VENTO,92685833000151,29/4/2019,"R$ 113.792,46",12/9/2019,10/10/2019 - R$56896.23,Arquivado,13/9/2019,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152223359202167,222526653,RS,FRIGELAR COMERCIO E INDUSTRIA LTDA,92660406000119,29/12/2021 00:00:00,"R$ 57.781,27",10/5/2022,05-10-2022 - R$28890.64,Arquivado - pago administrativamente,08/08/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152026888202203,222819456,RS,SUMIG SOLUCOES PARA SOLDA E CORTE LTDA.,92236629000153,25/02/2022 00:00:00,"R$ 14.231,30",3/23/2023,23-03-2023 - R$7115.65,Arquivado - pago administrativamente,06/03/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152027226202242,222822830,RS,CORENSA INDUSTRIA E COMERCIO DE CONFECCOES LTDA,91611210000171,25/02/2022 00:00:00,"R$ 7.272,26",9/28/2022,28-09-2022 - R$3636.13,Arquivado - pago administrativamente,01/09/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46274001676201910,218254181,RS,FELICE AUTOMOVEIS LTDA,91525790000184,30/8/2019,"R$ 39.964,35",2/5/2021,22/12/2020 - R$19982.18,Arquivado,13/11/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152016900202263,222719583,RS,METALURGICA ECOPLAN.LTDA.,91506246000195,08/02/2022 00:00:00,"R$ 3.242,58",10/27/2022,27-10-2022 - R$1621.29,Arquivado - pago administrativamente,06/10/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152169805202181,221991506,SP,AGROPECUARIA SCHIO LTDA,91501783000142,01/10/2021 00:00:00,"R$ 265.659,51",7/28/2023,28-07-2023 - R$132829.76,Arquivado - pago administrativamente,05/07/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46274001617201941,218183887,RS,"LIBRAGA, BRANDAO & CIA LTDA",91292987000110,23/8/2019,"R$ 110.041,21",2/5/2021,23/12/2020 - R$55020.61,Arquivado,13/11/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152057756202215,223128139,RS,GSM DISTRIBUIDORA DE TINTAS LTDA,91238741000160,20/04/2022 00:00:00,"R$ 3.406,47",5/22/2023,22-05-2023 - R$1703.24,Arquivado - pago administrativamente,03/05/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152026958202215,222820152,RS,METADADOS ASSESSORIA E SISTEMAS LTDA,90719238000164,25/02/2022 00:00:00,"R$ 17.715,72",5/3/2023,03-05-2023 - R$23370.58,Arquivado - pago administrativamente,09/03/2023 00:00:00,Decisão procedente,27/03/2023 00:00:00,,,SIM,SIM,SIM,NAO
46218004084201924,217076491,RS,THYSSENKRUPP ELEVADORES SA,90347840000118,28/3/2019,"R$ 46.236,10",6/26/2019,10/06/2019 - R$23118.05,Arquivado,24/5/2019,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152003371202238,222584742,RS,METALURGICA NUNES LTDA,90314451000196,12/01/2022 00:00:00,"R$ 13.438,58",10/6/2022,06-10-2022 - R$6719.29,Arquivado - pago administrativamente,23/08/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46274001291201952,217777678,RS,THOR MAQUINAS E MONTAGENS LTDA,90312885000157,28/6/2019,"R$ 2.951,60",2/5/2021,23/12/2020 - R$1475.80,Arquivado,13/11/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152010112202263,222651709,RS,JGB EQUIPAMENTOS DE SEGURANCA SA,90278565000128,28/01/2022 00:00:00,"R$ 17.696,15",10/4/2022,04-10-2022 - R$8848.08,Arquivado - pago administrativamente,23/08/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152094702202231,223497592,RS,TRANSPORTADORA HAMMES LTDA,90030156000108,23/06/2022 00:00:00,"R$ 36.468,94",6/15/2023,,Enviado inscrição DAU (PGFN),07/03/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,SIM
14152029164202211,222842211,SC,ARBAZA ALIMENTOS LTDA,89982177000144,02/03/2022 00:00:00,"R$ 10.535,47",12/2/2022,02-12-2022 - R$5267.74,Arquivado - pago administrativamente,21/11/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152025394202031,219283087,RS,VALECAR VEICULOS E PECAS LTDA,89908727000185,28/2/2020,"R$ 3.124,28",8/17/2021,09/06/2021 - R$1562.14,Arquivado,18/5/2021,Decisão de procedência,,,,SIM,SIM,SIM,NAO
46272004061201965,218501251,RS,TIARAJU ENGENHARIA LTDA,89896138000124,4/10/2019,"R$ 18.033,79",6/10/2021,19/04/2021 - R$9016.90,Arquivado,1/3/2021,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152021398202211,222764554,RS,ENGENHO CORADINI LTDA,89889869000142,16/02/2022 00:00:00,"R$ 6.660,76",12/2/2022,02-12-2022 - R$3330.38,Arquivado - pago administrativamente,09/11/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152024248202251,222793058,RS,INDUSTRIA DE MATRIZES BELGA LTDA,89822530000129,22/02/2022 00:00:00,"R$ 3.219,17",3/29/2023,29-03-2023 - R$1609.58,Arquivado - pago administrativamente,09/03/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152004686202031,219076944,RS,BRUNING TECNOMETAL LTDA.,89673164000193,21/1/2020,"R$ 36.698,42",10/29/2021,07/10/2021 - R$18349.21,Arquivado,15/9/2021,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152030412202005,219332797,RS,ABASTECEDORA ABM LTDA,89470462000186,9/3/2020,"R$ 15.722,52",2/3/2022,,Enviado p/ PFN,15/9/2021,Decisão de procedência,,,,SIM,SIM,SIM,SIM
47157000437201941,217111971,RS,GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA.,89237911000140,2/4/2019,"R$ 241.126,88",7/26/2019,25/06/2019 - R$120563.44,Arquivado,31/5/2019,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152015439202060,219183767,RS,CALCADOS MARTE LTDA,88887021000111,11/2/2020,"R$ 49.184,72",2/5/2021,21/12/2020 - R$24592.36,Arquivado,13/11/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152000530202081,219035610,RS,PIRAHY ALIMENTOS LTDA,88815295000103,6/1/2020,"R$ 44.379,15",2/5/2021,23/12/2020 - R$22189.58,Arquivado,13/11/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
46219004428201995,217008054,SP,IMDEPA ROLAMENTOS IMPORTACAO E COMERCIO LTDA,88613922000115,21/3/2019,"R$ 17.743,47",3/7/2022,22/10/2019 - R$8871.74,Arquivado,9/10/2019,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152136952202255,223920096,RS,GRANJA AVICOLA NICOLINI LTDA,88595095000184,30/08/2022 00:00:00,"R$ 3.219,17",3/28/2023,28-03-2023 - R$3541.09,Arquivado - pago administrativamente,01/03/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152101701202250,223567582,RS,GRANJA BRETANHAS S/A,88414321000183,01/07/2022 00:00:00,"R$ 36.478,73",6/7/2023,07-06-2023 - R$18239.36,Arquivado - pago administrativamente,22/05/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152019156202330,224857711,PR,TRANSEICH ASSESSORIA E TRANSPORTES S/A,88246251000100,14/02/2023 00:00:00,"R$ 9.969,79",6/9/2023,09-06-2023 - R$4984.90,Arquivado - pago administrativamente,18/05/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46255000667201930,217053459,SP,PAREXGROUP INDUSTRIA E COMERCIO DE ARGAMASSAS LTDA,88028873000153,27/3/2019,"R$ 34.232,92",7/28/2022,31/10/2019 - R$34232.92,Arquivado,10/10/2019,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152017782202219,222728400,RS,"COOPER DE CRED, POUP E INVESTIM BOTUCARAI - SICREDI",87900601000139,09/02/2022 00:00:00,"R$ 3.550,97",1/26/2023,26-01-2023 - R$1775.48,Arquivado - pago administrativamente,10/01/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152046189202271,223012467,RS,GRANJA PINHEIROS LTDA,87702528000190,30/03/2022 00:00:00,"R$ 83.923,23",11/28/2022,28-11-2022 - R$41961.62,Arquivado - pago administrativamente,26/10/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46274001546201987,218112947,RS,IRMAOS CIOCCARI E CIA LTDA,87675831000141,14/8/2019,"R$ 6.025,78",6/10/2021,30/04/2021 - R$3012.89,Arquivado,17/3/2021,Decisão de procedência,,,,SIM,SIM,SIM,NAO
46274002003201987,218423128,RS,UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTENCIA A SA,87497368000195,30/9/2019,"R$ 6.282,86",2/5/2021,21/12/2020 - R$3141.43,Arquivado,13/11/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152094069202281,223491268,RS,RODAM TRANSPORTES EIRELI,87396834000146,22/06/2022 00:00:00,"R$ 24.582,77",2/17/2023,17-02-2023 - R$12291.38,Arquivado - pago administrativamente,03/02/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152076255202238,223313122,RS,DOMPEL INDUSTRIA PLASTICA E METALURGICA LTDA,87203121000119,23/05/2022 00:00:00,"R$ 3.283,56",8/3/2023,03-08-2023 - R$1641.78,Arquivado - pago administrativamente,25/07/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152064295202075,219659613,BA,,,6/8/2020,"R$ 8.449,77",7/5/2023,,Arquivado,17/2/2022,Decisão de procedência,,,,SIM,SIM,SIM,NAO
46220003943201919,217290850,SC,"ESMALGLASS DO BRASIL - FRITAS, ESMALTES E CORANTES CERA",86981966000172,2/5/2019,"R$ 8.721,74",9/28/2020,18/09/2020 - R$4360.87,Arquivado,3/8/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152164716202148,221940618,PR,PONTO RURAL COMERCIO E DISTRIBUICAO DE INSUMOS AGRICOLA,86960945000170,27/09/2021 00:00:00,"R$ 8.224,86",5/16/2022,06-05-2022 - R$4112.43,Arquivado - pago administrativamente,27/04/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46317000635201962,217513000,PR,TRANSPORTEC COLETA E REMOCAO DE RESIDUOS LTDA,86904521000199,29/5/2019,"R$ 14.536,23",3/27/2020,,Enviado p/ PFN,11/9/2019,Decisão de procedência,,,,SIM,SIM,SIM,SIM
14152123043202257,223781002,SC,ALENICE INDUSTRIA TEXTIL EIRELI,86837366000135,07/08/2022 00:00:00,"R$ 32.355,17",3/22/2023,22-03-2023 - R$16177.58,Arquivado - pago administrativamente,28/02/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152021546202027,219244715,GO,FUNDAÇÃO PRÓ CERRADO,86819323000127,20/2/2020,"R$ 19.231,01",6/28/2021,05/05/2021 - R$9615.50,Arquivado,6/4/2021,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152208735202274,224637771,PR,FUTURAGRO DISTRIBUIDORA DE INSUMOS AGRICOLAS LTDA,86791928000157,27/12/2022 00:00:00,"R$ 6.473,46",5/26/2023,26-05-2023 - R$3236.73,Arquivado - pago administrativamente,04/05/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152036389202135,220681350,PR,FUTURAGRO DISTRIBUIDORA DE INSUMOS AGRICOLAS LTDA,86791928000157,19/03/2021 00:00:00,"R$ 2.922,27",5/3/2022,29-04-2022 - R$3535.94,Arquivado - pago administrativamente,07/03/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152059007202061,219022291,GO,NEW SERVICE ADMINISTRAÇÃO E SERVIÇOS EIRELI,86688785000152,30/12/2019,"R$ 8.087,43",9/29/2022,,Enviado p/ PFN,11/2/2022,Decisão de procedência,,,,SIM,SIM,SIM,SIM
14152161266202131,221906118,MG,MULTIMOV INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA,86667292000136,22/09/2021 00:00:00,"R$ 2.895,70",1/6/2023,06-01-2023 - R$1447.85,Arquivado - pago administrativamente,22/12/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152183007202161,222123478,MG,BARRA SETE ENGENHARIA E ADMINISTRACAO LTDA.,86626199000183,25/10/2021 00:00:00,"R$ 2.677,86",1/6/2023,06-01-2023 - R$1338.93,Arquivado - pago administrativamente,23/12/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152034567202355,225011824,SC,VINHOS RANDON LTDA,86552676000103,13/03/2023 00:00:00,"R$ 10.658,01",6/5/2023,05-06-2023 - R$5329.00,Arquivado - pago administrativamente,18/05/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46234003080201921,218882653,MG,LATICÍNIOS SAO VICENTE DE MINAS S.A.,86454741000168,19/12/2019,"R$ 23.464,42",2/15/2022,29/11/2021 - R$11732.21,Arquivado,9/11/2021,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152215869202161,222451751,SC,MITRA DIOCESANA DE TUBARAO,86447240000154,14/12/2021 00:00:00,"R$ 5.483,24",12/1/2022,01-12-2022 - R$2741.62,Arquivado - pago administrativamente,17/11/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152138604202131,221681965,SC,FUNDACAO UNIVERSIDADE DO SUL DE SANTA CATARINA-UNISUL,86445293000136,19/08/2021 00:00:00,"R$ 9.388,46",1/16/2023,,Enviado inscrição DAU (PGFN),13/10/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,SIM
14152004801202077,219078084,SC,COAN INDUSTRIA GRAFICA EIRELI,86444791000164,21/1/2020,"R$ 12.497,13",4/8/2021,26/02/2021 - R$6248.56,Arquivado,2/2/2021,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152066815202246,223218723,MG,MIRABRAS COMERCIO IMPORTACAO E EXPORTACAO EIRELI,86440732000118,05/05/2022 00:00:00,"R$ 10.723,40",1/19/2023,19-01-2023 - R$5361.70,Arquivado - pago administrativamente,02/01/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46220005618201991,217582303,SC,ASSOCIACAO BENEFICENTE SANTA TERESINHA,86437845000164,4/6/2019,"R$ 5.131,20",11/18/2020,27/08/2020 - R$2565.60,Arquivado,3/8/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152192391202274,224474332,SC,ASSOCIACAO BENEFICENTE SANTA TERESINHA,86437845000164,29/11/2022 00:00:00,"R$ 9.973,58",7/28/2023,19-04-2023 - R$4986.79,Arquivado - PGFN pago,29/03/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152194003202117,222233435,MG,SANESERVIS ADMINISTRACAO DE SERVICOS LTDA,86389756000190,10/11/2021 00:00:00,"R$ 31.120,67",1/10/2023,10-01-2023 - R$15560.34,Arquivado - pago administrativamente,23/12/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46220002838201962,217104266,SC,ORDEM AUX DAS SENHORAS EVANGELICAS DE TIMBO,86377553000183,1/4/2019,"R$ 8.799,16",9/10/2020,21/08/2020 - R$4399.58,Arquivado,13/7/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152031542202219,222865997,SC,TERCILIO MARCHETTI INDUSTRIA E COMERCIO DE AUTOPECAS LT,86377470000194,07/03/2022 00:00:00,"R$ 10.834,98",12/7/2022,07-12-2022 - R$5417.49,Arquivado - pago administrativamente,21/11/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46220002845201964,217103472,SC,BENECKE IRMAOS & CIA LTDA,86375656000104,1/4/2019,"R$ 2.744,04",9/10/2020,20/08/2020 - R$1372.02,Arquivado,13/7/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152031682202297,222867396,SC,CARROCERIAS LINSHALM LTDA,86375458000140,07/03/2022 00:00:00,"R$ 10.720,46",11/30/2022,30-11-2022 - R$5360.23,Arquivado - pago administrativamente,21/11/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152205215202129,222345225,SC,METISA METALURGICA TIMBOENSE S/A,86375425000109,29/11/2021 00:00:00,"R$ 63.963,46",12/5/2022,05-12-2022 - R$31981.73,Arquivado - pago administrativamente,17/11/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46220006728201970,217453317,SC,ASSOCIACAO DAS IRMAS FRANCISCANAS DE SAO JOSE,86185220000152,20/5/2019,"R$ 32.298,59",11/18/2020,21/08/2020 - R$16149.29,Arquivado,3/8/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152167993202111,221973389,SC,EUGENIO RAULINO KOERICH SA COMERCIO E INDUSTRIA,86184074000140,30/09/2021 00:00:00,"R$ 144.566,13",10/20/2022,20-10-2022 - R$72283.06,Arquivado - pago administrativamente,07/10/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152198120202141,222274271,SC,OXFORD PORCELANAS S/A,86046463000100,18/11/2021 00:00:00,"R$ 27.692,63",12/2/2022,02-12-2022 - R$13846.32,Arquivado - pago administrativamente,17/11/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152183034202134,222123745,SC,COOPERATIVA AGROINDUSTRIAL COOPERJA,85667947000103,25/10/2021 00:00:00,"R$ 32.601,24",11/22/2022,22-11-2022 - R$35861.36,Arquivado - pago administrativamente,25/10/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46301002306201925,217178014,SC,HOSPITAL DE CARIDADE SAO BRAZ,85604395000194,10/4/2019,"R$ 5.700,27",9/11/2020,24/08/2020 - R$2850.14,Arquivado,13/7/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
46301002305201981,217177930,SC,ASSOCIACAO DE ENSINO COLEGIO SAO JOSE,85604098000149,10/4/2019,"R$ 5.073,33",9/11/2020,20/08/2020 - R$2536.67,Arquivado,13/7/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
